symbol,timestamp_ny,session,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_nonzero
AAPL,2026-09-18T16:00:00-04:00,after hours,335.59,336.2342,334.7,335.56,0,0.0,0.0,False
AAPL,2026-09-18T16:30:00-04:00,after hours,335.57,336.13,327.58,335.41,0,0.0,0.0,False
AAPL,2026-09-18T17:00:00-04:00,after hours,335.5,335.5,335.05,335.1988,0,0.0,0.0,False
AAPL,2026-09-18T17:30:00-04:00,after hours,335.15,336.13,334.7501,334.77,0,0.0,0.0,False
AAPL,2026-09-18T18:00:00-04:00,after hours,334.7755,336.13,334.75,334.9499,0,0.0,0.0,False
AAPL,2026-09-18T18:30:00-04:00,after hours,334.9003,334.95,326.91,334.88,0,0.0,0.0,False
AAPL,2026-09-18T19:00:00-04:00,after hours,334.8825,335.19,334.88,335.19,0,0.0,0.0,False
AAPL,2026-09-18T19:30:00-04:00,after hours,335.08,335.1882,334.75,334.8,0,0.0,0.0,False
AAPL,2026-09-21T16:00:00-04:00,after hours,338.98,339.08,338.282,338.7712,0,0.0,0.0,False
AAPL,2026-09-21T16:30:00-04:00,after hours,338.77,338.98,338.6,338.6012,0,0.0,0.0,False
AAPL,2026-09-21T17:00:00-04:00,after hours,338.605,338.8,338.6,338.78,0,0.0,0.0,False
AAPL,2026-09-21T17:30:00-04:00,after hours,338.72,338.78,338.62,338.71,0,0.0,0.0,False
AAPL,2026-09-21T18:00:00-04:00,after hours,338.7793,338.96,338.71,338.85,0,0.0,0.0,False
AAPL,2026-09-21T18:30:00-04:00,after hours,338.76,338.98,338.67,338.78,0,0.0,0.0,False
AAPL,2026-09-21T19:00:00-04:00,after hours,338.85,338.85,338.66,338.661,0,0.0,0.0,False
AAPL,2026-09-21T19:30:00-04:00,after hours,338.67,338.85,338.6,338.71,0,0.0,0.0,False
AAPL,2026-09-22T16:00:00-04:00,after hours,339.75,340.12,339.75,340.0017,0,0.0,0.0,False
AAPL,2026-09-22T16:30:00-04:00,after hours,340.0012,340.07,334.0266,340.0,0,0.0,0.0,False
AAPL,2026-09-22T17:00:00-04:00,after hours,339.88,340.0,339.75,339.96,0,0.0,0.0,False
AAPL,2026-09-22T17:30:00-04:00,after hours,339.93,339.9745,339.75,339.8541,0,0.0,0.0,False
AAPL,2026-09-22T18:00:00-04:00,after hours,339.87,340.07,339.84,339.96,0,0.0,0.0,False
AAPL,2026-09-22T18:30:00-04:00,after hours,339.9151,340.0,339.84,339.98,0,0.0,0.0,False
AAPL,2026-09-22T19:00:00-04:00,after hours,339.98,340.0,339.87,339.92,0,0.0,0.0,False
AAPL,2026-09-22T19:30:00-04:00,after hours,339.92,339.96,339.8,339.891,0,0.0,0.0,False
AAPL,2026-09-23T16:00:00-04:00,after hours,337.0,337.15,336.5,336.85,0,0.0,0.0,False
AAPL,2026-09-23T16:30:00-04:00,after hours,336.89,337.02,336.82,336.9003,0,0.0,0.0,False
AAPL,2026-09-23T17:00:00-04:00,after hours,336.8312,337.02,336.83,336.9,0,0.0,0.0,False
AAPL,2026-09-23T17:30:00-04:00,after hours,336.9467,337.1,336.8302,337.0,0,0.0,0.0,False
AAPL,2026-09-23T18:00:00-04:00,after hours,337.05,337.35,337.0,337.1102,0,0.0,0.0,False
AAPL,2026-09-23T18:30:00-04:00,after hours,337.1124,337.2,337.02,337.12,0,0.0,0.0,False
AAPL,2026-09-23T19:00:00-04:00,after hours,337.12,337.2,337.1,337.15,0,0.0,0.0,False
AAPL,2026-09-23T19:30:00-04:00,after hours,337.15,337.33,336.8,336.9361,0,0.0,0.0,False
AGNC,2026-09-18T16:00:00-04:00,after hours,9.87,9.99,9.77,9.8899,0,0.0,0.0,False
AGNC,2026-09-18T16:30:00-04:00,after hours,9.8885,9.91,9.88,9.8951,0,0.0,0.0,False
AGNC,2026-09-18T17:00:00-04:00,after hours,9.9,9.91,9.9,9.9085,0,0.0,0.0,False
AGNC,2026-09-18T17:30:00-04:00,after hours,9.91,9.91,9.9,9.9,0,0.0,0.0,False
AGNC,2026-09-18T18:00:00-04:00,after hours,9.9,9.91,9.9,9.9098,0,0.0,0.0,False
AGNC,2026-09-18T18:30:00-04:00,after hours,9.9,9.91,9.9,9.9099,0,0.0,0.0,False
AGNC,2026-09-18T19:00:00-04:00,after hours,9.91,9.91,9.9,9.9091,0,0.0,0.0,False
AGNC,2026-09-18T19:30:00-04:00,after hours,9.9091,9.91,9.9,9.9097,0,0.0,0.0,False
AGNC,2026-09-21T16:00:00-04:00,after hours,9.97,10.0,9.97,9.99,0,0.0,0.0,False
AGNC,2026-09-21T16:30:00-04:00,after hours,9.99,10.0,9.99,9.9992,0,0.0,0.0,False
AGNC,2026-09-21T17:00:00-04:00,after hours,9.995,10.0,9.99,9.9992,0,0.0,0.0,False
AGNC,2026-09-21T17:30:00-04:00,after hours,9.9998,10.0,9.99,9.9908,0,0.0,0.0,False
AGNC,2026-09-21T18:00:00-04:00,after hours,9.99,10.0,9.99,9.9997,0,0.0,0.0,False
AGNC,2026-09-21T18:30:00-04:00,after hours,10.0,10.0,9.99,10.0,0,0.0,0.0,False
AGNC,2026-09-21T19:00:00-04:00,after hours,9.9992,10.0,9.9885,9.99,0,0.0,0.0,False
AGNC,2026-09-21T19:30:00-04:00,after hours,9.99,10.0,9.98,9.9993,0,0.0,0.0,False
AGNC,2026-09-22T16:00:00-04:00,after hours,10.09,10.1094,10.08,10.1092,0,0.0,0.0,False
AGNC,2026-09-22T16:30:00-04:00,after hours,10.11,10.12,10.1,10.1185,0,0.0,0.0,False
AGNC,2026-09-22T17:00:00-04:00,after hours,10.11,10.12,10.1,10.12,0,0.0,0.0,False
AGNC,2026-09-22T17:30:00-04:00,after hours,10.1199,10.12,10.11,10.1199,0,0.0,0.0,False
AGNC,2026-09-22T18:00:00-04:00,after hours,10.11,10.12,10.11,10.12,0,0.0,0.0,False
AGNC,2026-09-22T18:30:00-04:00,after hours,10.11,10.12,10.11,10.12,0,0.0,0.0,False
AGNC,2026-09-22T19:00:00-04:00,after hours,10.1101,10.13,10.11,10.1292,0,0.0,0.0,False
AGNC,2026-09-22T19:30:00-04:00,after hours,10.12,10.13,10.11,10.1292,0,0.0,0.0,False
AGNC,2026-09-23T16:00:00-04:00,after hours,9.91,9.96,9.91,9.9496,0,0.0,0.0,False
AGNC,2026-09-23T16:30:00-04:00,after hours,9.95,9.96,9.94,9.94,0,0.0,0.0,False
AGNC,2026-09-23T17:00:00-04:00,after hours,9.94,9.96,9.94,9.9515,0,0.0,0.0,False
AGNC,2026-09-23T17:30:00-04:00,after hours,9.96,9.96,9.95,9.9501,0,0.0,0.0,False
AGNC,2026-09-23T18:00:00-04:00,after hours,9.95,9.96,9.95,9.96,0,0.0,0.0,False
AGNC,2026-09-23T18:30:00-04:00,after hours,9.9502,9.96,9.95,9.96,0,0.0,0.0,False
AGNC,2026-09-23T19:00:00-04:00,after hours,9.96,9.97,9.95,9.96,0,0.0,0.0,False
AGNC,2026-09-23T19:30:00-04:00,after hours,9.97,9.97,9.95,9.95,0,0.0,0.0,False
AMD,2026-09-18T16:00:00-04:00,after hours,559.82,559.9,557.3,557.58,0,0.0,0.0,False
AMD,2026-09-18T16:30:00-04:00,after hours,557.63,559.82,556.94,557.15,0,0.0,0.0,False
AMD,2026-09-18T17:00:00-04:00,after hours,557.2,570.9494,557.1355,557.5901,0,0.0,0.0,False
AMD,2026-09-18T17:30:00-04:00,after hours,557.5956,559.82,557.0,557.26,0,0.0,0.0,False
AMD,2026-09-18T18:00:00-04:00,after hours,557.22,559.82,557.0087,557.2,0,0.0,0.0,False
AMD,2026-09-18T18:30:00-04:00,after hours,557.0977,557.4,556.65,556.68,0,0.0,0.0,False
AMD,2026-09-18T19:00:00-04:00,after hours,556.6817,557.5975,556.68,557.53,0,0.0,0.0,False
AMD,2026-09-18T19:30:00-04:00,after hours,557.5061,558.1,557.2,557.98,0,0.0,0.0,False
AMD,2026-09-21T16:00:00-04:00,after hours,615.45,616.69,607.49,614.48,0,0.0,0.0,False
AMD,2026-09-21T16:30:00-04:00,after hours,614.65,615.52,614.29,614.83,0,0.0,0.0,False
